post_id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid035KYu9V7aF7QL2kpVc5oto5sikJhqSVikNVLWxR9c9sF5z4LgD2CCMbZtnpoxCeoCl,Laphonza Butler,31,100,85,0,0,0,0,22,207,185,"I'm honored to accept Gov. Gavin Newsom's nomination to be U.S. Senator for a state I have made my home and honored by his trust in me to serve the people of California and this great nation. No one will ever measure up to the legacy of Sen. Dianne Feinstein, but I will do my best to honor her legacy and leadership by committing to work for women and girls, workers and unions, struggling parents, and all of California. I am ready to serve.",2023-10-02T17:07:00,[],,https://www.facebook.com/laphonza/posts/pfbid035KYu9V7aF7QL2kpVc5oto5sikJhqSVikNVLWxR9c9sF5z4LgD2CCMbZtnpoxCeoCl?__cft__[0]=AZWGDFMRS8gXBpjbaptx995ZTDFK_k3f17uxN-6QNjNJL5GmcwnkL862LvMYnzPDObObqV2IswjXlkyO9FAmd6Fqx3bFoNllFhxswfI3wPCkpxJYq7DvwqTa1ErRgdNYTTvHx_rnlYHMjbJlwEeUbEJZX8EkDHa6vyOC-eMpACby8CJs1nhBxUvsq23V_CuDLkqLjv4ZYrLZr-12pGWmT_Q_&__tn__=%2CO%2CP-R
pfbid02K6eCbdQgZM2o3N7Qf4MLktjkZGkpJgu3xT7p4cVe7dceabfN6yrGr5inMvZz7V1dl,Laphonza Butler,6,30,22,0,0,0,0,13,65,32,"3 years ago today, Kamala Harris made history by becoming Joe Biden's running mate. The first Black woman and first woman of South Asian descent to join a major-party ticket. Let me tell you a bit about the Vice President I know — an inspiration and a fearless fighter for our freedoms. I've often found myself saying there's no one who has done the job that she is being asked to do. As the first woman of color to serve as Vice President, Kamala Harris is in a league of her own. There was no blueprint. She is creating it. That is life-changing for so many of us. Beyond her mere presence, we need to talk about her work, which is fundamentally changing peoples' lives. Since joining the Biden-Harris ticket 3 years ago, she has been a fearless and effective messenger in calling out the Republican agenda and fighting for the American people. Kamala Harris is a historic, forceful leader and partner to Joe Biden — at the forefront of our fight for our democracy and freedom. Since Dobbs, the Vice President has been leading the administration's response, meeting with advocates, doctors, and women across over 20 states and close to 50 meetings. Kamala Harris has been a leading voice in the fight against gun violence, helping to lead the admin's push for gun safety measures. As Vice President, she has traveled to communities shaken by tragedy and recently met with the Tennessee 3 who protested gun violence on the chamber floor. Kamala Harris has been a champion in the fight for our democracy and future generations — from the right to vote for all Americans, to the freedom to teach American’s full history, to demanding action on gun violence and standing with lawmakers fighting for their communities. Kamala Harris has been a champion for climate action and environmental justice. The Vice President cast the tie-breaking vote on the Inflation Reduction Act, the most significant climate bill ever. In 2023 alone, she has held 23 climate events in 10 states, centering communities of color.Kamala Harris has met with over 100 world leaders and traveled to 18 countries to strengthen our alliances and partnerships around the world—with a particular emphasis on Southeast Asia, the Caribbean, and Africa. Like so many, I was deeply moved by her remarks in South Africa.This is not an exhaustive list. I could go on, and over the next 14 months, EMILYs List will make the case for why Kamala Harris deserves 4 more years. Today we're launching our Madam Vice President campaign to do just that — follow along and ask the joyful warriors you know to do the same.Let me close with this: I've known Kamala Harris for a long time. I know her commitment to showing up and fighting for the American people. I know her heart. I know that my young daughter, all of our daughters, have a champion in this Vice President. And we are all better off because of it.",2023-08-11T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/366630048_316392957565961_184186935392789313_n.jpg?stp=dst-jpg_p526x395&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=P_ELlktKfTIAX8YGgEy&_nc_ht=scontent.ftll2-1.fna&oh=00_AfB6QQeLC2jq0f3OOMhbXxlmVTV9kJ-T6KMWDIUBgABG5g&oe=653E20A7 https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/366069306_316393004232623_1244988185786599989_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mWHV73sS3VEAX_cqYfH&_nc_oc=AQm_jNHMJ9JdXPs7cMgMjEfvxW7xhaebXUba5eIFd5fBJ8uskfaRYa7AqpZe40g2qbA&_nc_ht=scontent.ftll2-1.fna&oh=00_AfBkH7zsoZGJgyGZirsZo7ErQlm82jBCmMGqExPna54B1g&oe=653DDAF0,https://www.facebook.com/laphonza/posts/pfbid02K6eCbdQgZM2o3N7Qf4MLktjkZGkpJgu3xT7p4cVe7dceabfN6yrGr5inMvZz7V1dl?__cft__[0]=AZWZGtxvXva1A1Y9sXRiWchRF6gng-miM9QPxi6VFNbnVh75rzKQTegz0o7CCLcEGuckqDtyR2uWOVWXSjgUoXGuXa8xN3zdxa7jgW6sKPP0KPF3sjEg7feNcI24QpTnN4ABpFXfQl-ki3459vZiX128VDFmvJTiUVK3mlvI0J3sRpeoohhdnplCpUvpyUuwN6TzbZgIBYBp-qtEAkP2uaYZfrNUxM43v8eGkgu11RUYUw&__tn__=%2CO%2CP-R
pfbid02F4w3PvGyr4QSiufQKHHBCrhLM5718Fj5pR2QEKbVFsJFr1TTPJeU7DCYGTDAoPLYl,Laphonza Butler,1,17,8,0,0,0,0,9,34,16,I say this often because it’s true: Kamala Harris is a manifestation of EMILYs List’s mission. She makes us proud. She makes us hopeful. And we’re with her for 4 more years: https://win.emilyslist.org/a/donate-to-emily,2023-08-09T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/365194194_667308268778192_2752377076858825196_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=9H6EMsG2AmAAX9Nl5oi&_nc_ht=scontent.ftll2-1.fna&oh=00_AfB84iFivJcOoKCmv27IWaLwb1C1In15RcgIRIjQ0B5hnQ&oe=653D96D2,https://www.facebook.com/laphonza/posts/pfbid02F4w3PvGyr4QSiufQKHHBCrhLM5718Fj5pR2QEKbVFsJFr1TTPJeU7DCYGTDAoPLYl?__cft__[0]=AZVwd7QEa90x9LRPl7wm6CBwk4dFFfaABs4hhGWyiiNM56IOLPnG6NYjRqTCIGlu2ZEAwhSgNgWrPclVYJPPcG6Ef6R7LEk4GYinz_zJUy5Kvu5uOHYVxoW-M7hvgPVWXrfW2ZwoZVzpaSD78iD-Cx5Jir7FvDBcmam_o5xVb9ThRIYAon3o0WTj2GdRI6UTMucY1JWSdmUMY7n4rgvm14bxTq2g4_DouKxl2l-_Hm6K67EIsuS_f3muiLCUVrAcX28zzHFnar1rGgLUnXORn7LcOk5H3eiRjxAsw2iquVbHtw&__tn__=%2CO%2CP-R
pfbid035whWrZvyY4qQiAHTzBBCxffmyKM4iUVB6e591rHw3YC4k7f8uMZaAUa7A1HQXrxBl,Laphonza Butler,1,13,4,0,0,0,0,2,19,1,"Little Rock was chosen as the host city for this year's National Leaders Council Convention because of its role in the Civil Rights Movement, and I was proud to be there alongside Wendy Davis and changemakers like community organizer Malkia Hutchinson-Arvizu.",2023-08-09T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/366040409_314965291042061_7642290481717871797_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=emq-5PLkWPIAX_CxMB4&_nc_ht=scontent.ftll2-1.fna&oh=00_AfDK0Z2ce_MZKQ9urwR4gBWeeKcHNawifNpWkUoKOLRcuA&oe=653D654F https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/365279172_314965294375394_9041089516649634560_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=K38wG6j4C90AX-VlbGa&_nc_ht=scontent.ftll2-1.fna&oh=00_AfACKAuS-KYDdCnjlfKYu0rmkEFDeBPp8kFYxv8SrQU5rA&oe=653EF11D,https://www.facebook.com/laphonza/posts/pfbid035whWrZvyY4qQiAHTzBBCxffmyKM4iUVB6e591rHw3YC4k7f8uMZaAUa7A1HQXrxBl?__cft__[0]=AZWJB-s-sgnqbvhadeGGlvm-7gB2T1jQaENhOBUwc1JDSBoDPQgrsyTdmZu2uQFKYYsVn4Ls1wiZPRpiAzMjaSFb-tEKIEWmDeSk07vhJLF96Rmj6L8BLJLykGdq-m-aA1pGXEVZcnPkybw8T3sttMimtSYb9p1R-MDWeyv37wHrfn_rrwcUi-mUNaZEVQFLV-3COFYDB8OCy4O8wVY0YFuPXIWxyeW8GHDk6f5F9W0zzA&__tn__=%2CO%2CP-R
pfbid036PoPM1K7Qzh38rCou5ntQJqBusc9Gae2tg8hzUchhqj3TwpqdAynPgt3JWBxLx7Vl,Laphonza Butler,1,12,2,0,0,0,0,5,19,5,"""Kamala Harris’s tenacity, passion for bedrock Democratic issues, and ability to connect with an audience is a reminder why Biden chose her""As Renée Graham says, if the VP were ineffective, she wouldn’t be drawing as much ire from GOP candidates",2023-08-08T00:00:00,[],https://external.ftll2-1.fna.fbcdn.net/emg1/v/t13/2685969692339039682?url=https%3A%2F%2Fbostonglobe-prod.cdn.arcpublishing.com%2Fresizer%2Fy1NpnJjsOLMICw5JuQ049qfebAQ%3D%2F506x0%2Fcloudfront-us-east-1.images.arcpublishing.com%2Fbostonglobe%2FN5EPC2DJ7GI3M3T5QDVZ2KM4F4.jpg&fb_obo=1&utld=arcpublishing.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbGhoyEu-RWQ05aGeUwFCJwIaic9__RlH50Wjo619HWDAw&oe=653AEFC9&_nc_sid=dbad39,https://www.facebook.com/laphonza/posts/pfbid036PoPM1K7Qzh38rCou5ntQJqBusc9Gae2tg8hzUchhqj3TwpqdAynPgt3JWBxLx7Vl?__cft__[0]=AZUIK5K-B_UxoRBl3sadm4MZW7DkBwo5bh3kft2h2zXI9lzcgC6Y94b7He9mUvYUIh7SjIUcRYfxnBjPMLBAcH-i192mLucGMHXd5WP6FIZ_F-Q9Jg1AroJfCS712ziLy001s3G9NtwGclfeC37nHeaivaB6UtaIAPxNyecD_WSrZtKMekoba_h7EwjNplTQeG4K5wHYhp7_LDyOzrwrY37q&__tn__=%2CO%2CP-R
pfbid02NggpqiBM6vNuRoLePgkWeyRfpn3f9m5Z4NmwdYffhhdfkeSZDDgiHcPVWMY6fi3Wl,Laphonza Butler,0,11,2,0,0,0,0,5,18,1,One of the most important things we can do for our children is to teach them to honor knowledge and truth. VP Kamala Harris is a leader in the fight against the extremist agenda to rewrite history. ,2023-08-06T00:00:00,[],https://external.ftll2-1.fna.fbcdn.net/emg1/v/t13/4640866264562894759?url=https%3A%2F%2Fstatic.politico.com%2F51%2F3f%2F6eea564240d49390808cca7e8f24%2Fharris-naacp-03583.jpg&fb_obo=1&utld=politico.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbHEaJ2b7mgq3mJmv1bw-0c0yvcRqeSq1O2IOlPEf3GKVA&oe=653B3D09&_nc_sid=dbad39,https://www.facebook.com/laphonza/posts/pfbid02NggpqiBM6vNuRoLePgkWeyRfpn3f9m5Z4NmwdYffhhdfkeSZDDgiHcPVWMY6fi3Wl?__cft__[0]=AZWxecxyDldUyJc4qrj3NjrTaXYBXYyY-9ZPEBtEbyY6at8cS4k5ZjNVad9nbUpMP0ZWcZZzPM-Cnd9VuG7kaHf67eS9koxTg-S7XDhILPb1wEAuHkckI4dRWZlIS1EuGXcNLi2LON2HjHfyFi7Sn05SAnb-pinYlVCQADX0HdqN7aZF0RkoCA0gHhoT41NJJyHK9C1u0pXmUKDN6oeXIaa6&__tn__=%2CO%2CP-R
pfbid0316bKWuF5ut1jLZoZ34WZLzoWCxC1W2ZjRrx3GjEGe6qR7U76tNxzQRuX1eZBwk4Xl,Laphonza Butler,1,6,2,0,0,0,0,1,9,1,"The battle for reproductive freedom, and our very democracy, is playing out on a local level every single day.EMILYs List-endorsed mayors stand at the frontlines — making their communities better and standing up to Republican-led attacks on our freedoms.",2023-08-05T00:00:00,[],https://external.ftll2-1.fna.fbcdn.net/emg1/v/t13/12223984533965764353?url=https%3A%2F%2Fthestoryexchange.org%2Fapp%2Fuploads%2F2023%2F07%2Fwomen-candidates-emilys-list-mayors.jpeg&fb_obo=1&utld=thestoryexchange.org&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbGSDOmp16hjEBfw1lEbLqJcTpKx-1XOavtkTmic0i1qdA&oe=653A9F4B&_nc_sid=dbad39,https://www.facebook.com/laphonza/posts/pfbid0316bKWuF5ut1jLZoZ34WZLzoWCxC1W2ZjRrx3GjEGe6qR7U76tNxzQRuX1eZBwk4Xl?__cft__[0]=AZWwf3ipSvfk9ONtjoom-sRXFr-uEkGZHL5xx4k9ng6JeYkXFfmKa8nc7b4hsjA6-qN_tdvb91N6pL9l_BZzwlvQxzNMSVpjQD-9c1U8ah7fNnO1VVhipcAxSzXmmW8IffT2GebHHi3gICe7Su7NSYNHZ4AtVkqe-9jyujW6sAvTmUc4jvn4DXHU6CLvTISbTJrMwBZuDjDCm9sJh80TdYBs&__tn__=%2CO%2CP-R
pfbid0ZugzeGhAPB2dLcSfq8RQuGaCoF311SDTkQEraSXJPYCuaBdmQVNFMJvxztuHuoeHl,Laphonza Butler,1,4,1,0,0,0,0,1,6,1,"SAG-AFTRA, Writers Guild of America West + Writers Guild of America, East give voice to women in entertainment whose talents bring us stories that shape our politics and our culture.They did not want a strike. But when AMPTP refused a fair deal, these unions took a stand — and EMILYs List is proud to stand with them.",2023-08-04T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/365106039_312783164593607_3371685819672892073_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7G_Tp7M79bEAX9c08YL&_nc_ht=scontent.ftll2-1.fna&oh=00_AfAoCJutBMSHyjjonNeh1W6z2QPJeQ6jakg62T-2zVCrow&oe=653D69B2,https://www.facebook.com/laphonza/posts/pfbid0ZugzeGhAPB2dLcSfq8RQuGaCoF311SDTkQEraSXJPYCuaBdmQVNFMJvxztuHuoeHl?__cft__[0]=AZUQrhg70TBAzWmJi-h4g4Iy4HErSWB9oR7L1dbRCP-Sx0kxugET6UbrGg5Jcxyre5Mxp02iUIZK1y3tgHWjDfJ08UmN7A5RceTQCHqX_kyqwIpTy8eqSSfZrL7pGwmISLD84FyJlDqcwdyduYJXRatASYDfPg-3OkILvTp5HtLibc2O_9SnMc10U2AbuiDK2cLSOQpOgVarXZ0wzh9CccMP&__tn__=%2CO%2CP-R
pfbid0EZZCtd9mYba2sRHbt2UUxq8UDkVFjhhpHCvJ2guKqqZSzkwMugDFqrygjoEmtBsLl,Laphonza Butler,0,5,2,0,0,0,0,1,8,1,"Today, Vice President Kamala Harris traveled to Florida to call out Republican efforts to change their curriculum to include the false suggestion that enslaved people benefited from slavery.EMILYS List President Laphonza Butler released the following statement:",2023-07-21T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/362278417_660189556156730_7001731744455817518_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=cfL0z91yYPoAX97EYIy&_nc_ht=scontent.ftll2-1.fna&oh=00_AfD3ETPAl3EZpGV0LoskV9Sv8H-0497gNkv_8Z6-ZILywg&oe=653EE53E,https://www.facebook.com/laphonza/posts/pfbid0EZZCtd9mYba2sRHbt2UUxq8UDkVFjhhpHCvJ2guKqqZSzkwMugDFqrygjoEmtBsLl?__cft__[0]=AZV9K7be4aJSDrbbezoHf93jGLLVCJf6dWYRjx2BVdNiyaKChcL6DpecIHYmwDl1FnQ2MkIQNQVKo28JcL8D8AJu_KWhjEyjgTOzaGdRt4eSdpLDWqVxVJ9bVaGWBqb9Y_7lxlVkY0WlvDVKmdZD5EhPrwm0OLp5M6O69y6PADN9QPIoj4I8b0ZrHsNpSSMPwD4Ja5d1OEGigPaOQMHkxkrPn_HhyY_qXAizZaEQ3LClX7l_zaviklF3F8mVr6ucnCk&__tn__=%2CO%2CP-R
pfbid021uSkD4vZcbK28jYX3LM5xMzfkqKc9YgoJFSMZWUFhNvYjdhymvwJ2dKSGLyB5wwTl,Laphonza Butler,1,2,0,0,0,0,0,2,4,1,"Statement from our President, Laphonza Butler, on Iowa Republicans’ special legislative session to ban abortion:",2023-07-11T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/359750091_654877240021295_6779500354070065513_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jujjP88yxsMAX9JWtaC&_nc_ht=scontent.ftll2-1.fna&oh=00_AfCPTMrAOz0Tp6-Vcem77gvXMJ4BGvJ1K12H08DVE9vsIA&oe=653F2392,https://www.facebook.com/laphonza/posts/pfbid021uSkD4vZcbK28jYX3LM5xMzfkqKc9YgoJFSMZWUFhNvYjdhymvwJ2dKSGLyB5wwTl?__cft__[0]=AZUm1RdqiPfAD3pwA3gP1i1zIvr79r1vbfoLfZVmsrUpgKb4sdXADvEN4XuOzxnFyVXxwwXz-Lme1Ay9UhQ4ksGjTWDyedUFwJ2a_6YW2NDP4H16p6c7TXlSI-OGHtLZ1PvMFpnNMhFx_Y0dLwT_q2sa4bQSkRqo8gIj4Qyf9zNDf5X3lXaIG0EOvSRUVfiZj9snfzhCQJwu90Ae3xvmQzZXSV6hROPo2apRmRo92m7OYBOE7ChW_MfLaNfHSSAgIs0&__tn__=%2CO%2CP-R
pfbid02vxf8vsjL871iG6f1Pocr3R3rKDHH26ZR4RtfVqYVT6XP8GAWPLxd4x1Az6259yKwl,Laphonza Butler,1,3,1,0,0,0,0,2,6,1,"Proud VP Kamala Harris is in the fight for reproductive freedom with @emilyslist, NARAL Pro-Choice America, Planned Parenthood Action. It’s a fight we intend to win because we will not accept a national abortion ban.",2023-06-28T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/356655331_292590583279532_1023151545611723182_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=MItzUGIxTucAX-SVU2p&_nc_ht=scontent.ftll2-1.fna&oh=00_AfAbwiiyglpSPjV9JXyYoVDr426hGjth1SYbE_NQGIppPQ&oe=653EF30C,https://www.facebook.com/laphonza/posts/pfbid02vxf8vsjL871iG6f1Pocr3R3rKDHH26ZR4RtfVqYVT6XP8GAWPLxd4x1Az6259yKwl?__cft__[0]=AZXIF5Vy8ATFgUh7LGUOLuHJNsDkUKdz13vq_dqyDHp6407v_Y4ej8AudrQfEGXnRXxrSYSYnssdQ3IOIzkFsj_QNyUWOIlSMoD8d_-NH3StfMQguLs_9IEtyHReYNSQuGNxUrQq8lQVG5cFIrjmJaZzpvBQCSAL9IUaOHWFyLBh9y26yaqbwHL38lC4gexsL8ImeO3ywyk_Ox84EShlvUyz&__tn__=%2CO%2CP-R
pfbid02v8pjpsWwfBcgtPDJ2yba7CLHyPqNobsPgq2hNiUF26eLKY331Ajpqob7cHnzAWGfl,Laphonza Butler,0,3,1,0,0,0,0,1,5,1,"Kamala Harris is remarkably well-suited.She is the convener, leader, empathizer, and fighter that America needs; that is why EMILYs List has proudly endorsed her for a second term.",2023-06-27T00:00:00,[],https://external.ftll2-1.fna.fbcdn.net/emg1/v/t13/1946674148056557073?url=https%3A%2F%2Fmedia.vanityfair.com%2Fphotos%2F6494937a15c3c735f09ec163%2F16%3A9%2Fw_1280%2Cc_limit%2Fvf623-kamala-reproductive.jpg&fb_obo=1&utld=vanityfair.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbGstqU1KZ2d3oLdOpIKoHi2KMZvs6bPzRuxwqxlVnplMw&oe=653AB29F&_nc_sid=dbad39,https://www.facebook.com/laphonza/posts/pfbid02v8pjpsWwfBcgtPDJ2yba7CLHyPqNobsPgq2hNiUF26eLKY331Ajpqob7cHnzAWGfl?__cft__[0]=AZUNYT_8n_KVb004pzF3oMErS8bZz4WB9HGawPVpGeumGM2Ip5qFTdMcSQXcUw-TP0ke2r7iMyYWTaYF1ZDPL2HrHxr4fa_gWkW4yWTywHKVA_vg_LF8uiQTUugWTAP4vjmxbE5scALO3i2oV2cE5bAj26SZdua05TpW5x3-5yLeLNVg5noaF52IEgYQ0OwTAZsyzYStULWo-LTvCwSGaGMj&__tn__=%2CO%2CP-R
pfbid0P2nNkDx3MUxKC2YBTXZWPgPYEVz6Q8EttLLXCiz3VkAD4kFYWiWixx2YnzZfV7XZl,Laphonza Butler,0,2,1,0,0,0,0,0,3,1,"One year ago, the Supreme Court overturned Roe v. Wade. Since then, it’s become more important than ever to stop the anti-choice Republican agenda–and Kamala Harris  is at the forefront of this fight.",2023-06-23T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/356118353_289727210232536_6284914455724944287_n.jpg?stp=dst-jpg_p600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=i7y6ucvcZqUAX8jMPGa&_nc_oc=AQncbC73fwGNpYdrIXSAvZES9kcHbjHphl4VRYS8Z2_ltrQtUkBra6QMTv8rKkwXej8&_nc_ht=scontent.ftll2-1.fna&oh=00_AfChYTthGj5IZxoX__Dji-Y9djr7llDJUV6tcHbSgDcNPA&oe=653F223A https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/356073469_289727116899212_6354403958410065710_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=L_5CObb3474AX8Eri7n&_nc_ht=scontent.ftll2-1.fna&oh=00_AfBoyoCvD5iBiABhf10qlSzHz-vartYYr-kFytMR4t18OA&oe=653DC0E2,https://www.facebook.com/laphonza/posts/pfbid0P2nNkDx3MUxKC2YBTXZWPgPYEVz6Q8EttLLXCiz3VkAD4kFYWiWixx2YnzZfV7XZl?__cft__[0]=AZXIjcuSqCSMNYByyUoGvMCR26TJG3tuefUtwoaQteYvb_TORatMmwR0VxyUlK2xe_I0F6ezeJC_0qbSH2Uozi1rsi4H7_HyDdeutlRQTOJfEbt_fHQCmGX6LfX2YZrBijXtafBET1xLBAHAahP0TJQ-OFXbT4n7lTYmZ4bJtyOLnOaXyeOf0UIVZGnQMO7g6oIpytVsd3tfxkx1GoNx6AhS&__tn__=%2CO%2CP-R
pfbid02XEq4MfaaXJx87DdmkXb8QjwSYnDFmftMERKE39zA3qasFGThXh6LhXuvrHMu7wBfl,Laphonza Butler,0,3,1,0,0,0,0,0,4,1,I've long admired Kamala Harris and her commitment to fight on behalf of women and children at every step of her career. I'm so proud to announce that EMILYs List is endorsing Vice President Kamala Harris for reelection!,2023-06-23T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/356082599_644207327754953_24370614026592086_n.jpg?stp=dst-jpg_s640x640&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Y78U7AGhJBMAX-BE-LM&_nc_ht=scontent.ftll2-1.fna&oh=00_AfBsfMDj5_91kWLFcLBZ1Gg8Z9SPdoc-wSjI7B1mbiXhMQ&oe=653DF6F3,https://www.facebook.com/laphonza/posts/pfbid02XEq4MfaaXJx87DdmkXb8QjwSYnDFmftMERKE39zA3qasFGThXh6LhXuvrHMu7wBfl?__cft__[0]=AZUvqx81yDFEb-UlowiYDsc_MJkEIgZOlTJnDCb3XWy5fmxTqqMBkPcywjSVf_gQIAOuLIQGKnEY8Ugo1MlXSpojyy_EeT0Tqg42B9hfETlKYzpfxfBvv5m_C0MD71qXH4qn6neTObrAg8NSiCcmWMgROxAUN-Ayl1zI55QZukGST5Uyb0ER4TCoa1w1ufdgO0egNfbTxkJZt25iJ1sNc9J7TE70OXkvXlaT96mk8mgW-8Jwse6xyqBAe_qF5oui8AA&__tn__=%2CO%2CP-R
pfbid02oXAk2u8gJB1JS68r1ZkbZVLM1oxzYNJQDuYTuHkU2vLVavDD6pQgj5zadByZt6NUl,Laphonza Butler,0,2,1,0,0,0,0,0,3,2,It was a honor to be a part of All In Together’s 2023 #BlackWomenLead event celebrating the incredible work of Black women leaders in D.C. last week.,2023-06-18T00:00:00,[],https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/355094940_286977290507528_7428794388629927362_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=80f9ztOgT2IAX9DkUQD&_nc_ht=scontent.ftll2-1.fna&oh=00_AfApBvOFP7JVxZUPMo_XGbwSUlVqvP6PChlih7m4vqY48Q&oe=653EA984 https://scontent.ftll2-1.fna.fbcdn.net/v/t39.30808-6/355020952_286977347174189_7520312090807584883_n.jpg?stp=dst-jpg_p180x540&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=0nKx_piRcYAAX_nYq2v&_nc_ht=scontent.ftll2-1.fna&oh=00_AfAW-PsDR1FAfOfdUMDdkqBRUz6hNQCtzztLf5IvYZAAmg&oe=653D7531,https://www.facebook.com/laphonza/posts/pfbid02oXAk2u8gJB1JS68r1ZkbZVLM1oxzYNJQDuYTuHkU2vLVavDD6pQgj5zadByZt6NUl?__cft__[0]=AZV-hfEBPNVkuUbMc8soJ_D8zijm4EAypksOV6qViKJNfaqH4uhR5T8qD7o0lrX0Nm2SrZPkVq1NuSQK5WEbM6OGo8p5H6XMY14JyoUqhcGFxdM5f7dKrh4Xeu4JjNO_0Bsl1VUniBlLOYbDb_BXrP9CdmsYV4ID1S4qDzbqis7LCeA1OulV0H4gFzbZfFpif1ERGHbajHIVdt64mMeb0t5v&__tn__=%2CO%2CP-R
pfbid02GQFeRQdR8i4MH7X2B65rRGTgFa6qqgVSzGiQqnk7AiuRpRF5kqUa5Q7jMu4cWzq2l,Laphonza Butler,0,1,1,0,0,0,0,0,2,1,I’ll be at All In Together’s 2023 #BlackWomenLead event this afternoon in D.C.! Tune in at 3:50PM ET to watch via livestream hosted by OWN: Oprah Winfrey Network: ,2023-06-15T00:00:00,[],https://external.ftll2-1.fna.fbcdn.net/emg1/v/t13/9157525530579915356?url=http%3A%2F%2Fbit.ly%2Fstatic%2Fgraphics%2Fmeditation.png&fb_obo=1&utld=bit.ly&stp=c0.5000x0.5000f_dst-jpg_flffffff_p139x139_q75&ccb=13-1&oh=06_AbH6TPppdpIwm5gwoZ8i7-dt4CPWNQHdsbcZJqI6qmA49A&oe=653AB224&_nc_sid=dbad39,https://www.facebook.com/laphonza/posts/pfbid02GQFeRQdR8i4MH7X2B65rRGTgFa6qqgVSzGiQqnk7AiuRpRF5kqUa5Q7jMu4cWzq2l?__cft__[0]=AZUcStZ8K1iyq2dzxgNbirX1PwzldTaFs2vdpbBSFfyas29K4AJX-7244FTGBsN9BQ0GpPq52NxO_bJ12s2DWH9f4zWHcZF8_pU68rSuMvQu6UWgbyX0RDWBy5hRVOny7ckrFAP2-myJYfjjBwqOIR3lkH_Bb4gT5v7vecdLN9ErClatj6R8YQ5SMGjDrpUlsmchoyfyufS2kZJIBXGRtySm&__tn__=%2CO%2CP-R
